taxa	scientific_name	rank
Gomphonema exiguum var. platypus	Gomphonema exiguum var. platypus (Østrup) Lange-Bertalot, 1985	VARIETY
Gomphonema exilissimum	Gomphonema exilissimum (Grunow) Lange-Bertalot & E.Reichardt, 1996	SPECIES
Gomphonema gracile	Gomphonema gracile Ehrenberg, 1838	SPECIES
Gomphonema grovei var. lingulatum	Gomphonema grovei var. lingulatum (Hustedt) Lange-Bertalot, 1985	VARIETY
Gomphonema hebridense	Gomphonema hebridense W.Gregory, 1854	SPECIES
Gomphonema helveticum	Gomphonema helveticum Brun, 1895	SPECIES
Gomphonema innocens	Gomphonema innocens E.Reichardt, 1999	SPECIES
Gomphonema insigne	Gomphonema insigne Gregory, 1856	SPECIES
Gomphonema insigniforme	Gomphonema insigniforme E.Reichardt & H.Lange-Bertalot, 1999	SPECIES
Gomphonema interpositum	Gomphonema interpositum E.Reichardt, 1999	SPECIES
Gomphonema intricatum	Gomphonema intricatum Suhr.	SPECIES
Gomphonema italicum	Gomphonema italicum Kützing, 1844	SPECIES
Gomphonema lacus-vulcani	Gomphonema lacus-vulcani Reichardt & Lange-Bertalot, 1997	SPECIES
Gomphonema lagerheimii	Gomphonema lagerheimii A.Cleve, 1895	SPECIES
Gomphonema lanceolatum	Gomphonema lanceolatum Kützing, 1844	SPECIES
Gomphonema lange-bertalotii	Gomphonema lange-bertalotii Reichardt, 1997	SPECIES
Gomphonema lappponicum	Gomphonema lapponicum (A.Cleve) Cleve-Euler	SPECIES
Gomphonema lateripunctatum	Gomphonema lateripunctatum Reichardt & Lange-Bertalot, 1991	SPECIES
Gomphonema lingulatiforme	Gomphonema lingulatiforme Lange-Bertalot & Reichardt, 1991	SPECIES
Gomphonema lippertii	Gomphonema lippertii E.Reichardt & H.Lange-Bertalot, 1999	SPECIES
Gomphonema longiceps	Gomphonema longiceps Ehrenberg, 1854	SPECIES
Gomphonema longilineare	Gomphonema longilineare E.Reichardt, 1999	SPECIES
Gomphonema micropumilum	Gomphonema micropumilum Reichardt, 1997	SPECIES
Gomphonema micropus	Gomphonema micropus Kützing, 1844	SPECIES
Gomphonema minusculum	Gomphonema minusculum A.Cleve-Euler, 1949	SPECIES
Gomphonema minutiforme	Gomphonema minutiforme H.Lange-Bertalot & E.Reichardt, 1991	SPECIES
Gomphonema minutum	Gomphonema minutum (C.Agardh) C.Agardh, 1831	SPECIES
Gomphonema montanum	Gomphonema montanum Schum.	SPECIES
Gomphonema obscurum	Gomphonema obscurum Krasske, 1939	SPECIES
Gomphonema occultum	Gomphonema occultum Reichardt & Lange-Bertalot, 1991	SPECIES
Gomphonema olivaceoides	Gomphonema olivaceoides	SPECIES
Gomphonema olivaceolacuum	Gomphonema olivaceolacuum (Lange-Bertalot & Reichardt) Lange-Bertalot & Reichardt, 2004	SPECIES
Gomphonema olivaceum	Gomphonema olivaceum (Hornemann) Ehrenberg, 1838	SPECIES
Gomphonema olivaceum var. balticum	Gomphonema olivaceum var. balticum (Cleve) Grunow, 1880	VARIETY
Gomphonema olivaceum var. calcareum	Gomphonema olivaceum var. calcareum (Cleve) Van Heurck, 1880	VARIETY
Gomphonema olivaceum var. minutissimum	Gomphonema olivaceum var. minutissima Hustedt, 1930	VARIETY
Gomphonema olivaceum var. olivaceoides	Gomphonema olivaceum var. olivaceoides (Hustedt) Lange-Bertalot, 1989	VARIETY
Gomphonema olivaceum var. olivaceolacuum	Gomphonema olivaceum var. olivaceolacuum Lange-Bertalot & Reichardt, 1993	VARIETY
Gomphonema olivaceum var. olivaceum	Gomphonema olivaceum var. olivaceum	VARIETY
Gomphonema olivaceum var. salinum	Gomphonema olivaceum var. salina Grunow, 1878	VARIETY
Gomphonema olivaceum var. staurophorum	Gomphonema olivaceum var. staurophora Pantocsek, 1889	VARIETY
Gomphonema pala	Gomphonema pala E.Reichardt, 2001	SPECIES
Gomphonema paludosum	Gomphonema paludosum E.Reichardt, 1999	SPECIES
Gomphonema parallelistriatum	Gomphonema parallelistriatum H.Lange-Bertalot & Reichardt, 1991	SPECIES
Gomphonema parvulius	Gomphonema parvulius (Lange-Bertalot & E.Reichardt) Lange-Bertalot & E.Reichardt, 1996	SPECIES
Gomphonema parvulum	Gomphonema parvulum (Kützing) Kützing, 1849	SPECIES
Gomphonema parvulum var. exilissimum	Gomphonema parvulum var. exilissimum Grunow, 1880	VARIETY
Gomphonema parvulum var. lagenula	Gomphonema parvulum var. lagenula (Kützing) Frenguelli, 1923	VARIETY
Gomphonema parvulum var. parvulius	Gomphonema parvulum var. parvulius Lange-Bertalot & Reichardt, 1993	VARIETY
Gomphonema parvulum var. parvulum f. parvulum	Gomphonema parvulum f. parvulum	FORM
Gomphonema parvulum var. parvulum f. saprophilum	Gomphonema parvulum f. saprophilum Lange-Bertalot & Reichardt, 1993	FORM
Gomphonema pratense	Gomphonema pratense H.Lange-Bertalot & E.Reichardt, 1999	SPECIES
Gomphonema procerum	Gomphonema procerum Reichardt & Lange-Bertalot, 1991	SPECIES
Gomphonema productum	Gomphonema productum (Grunow) Lange-Bertalot & Reichardt, 1993	SPECIES
Gomphonema pseudoaugur	Gomphonema pseudoaugur Lange-Bertalot, 1979	SPECIES
Gomphonema pseudobohemicum	Gomphonema pseudobohemicum Lange-Bertalot & Reichardt, 1996	SPECIES
Gomphonema pseudotenellum	Gomphonema pseudotenellum Lange-Bertalot, 1985	SPECIES
Gomphonema pumilum	Gomphonema pumilum (Grunow) E.Reichardt & Lange-Bertalot, 1991	SPECIES
Gomphonema pumilum var. elegans	Gomphonema pumilum var. elegans E.Reichardt & Lange-Bert., 1997	VARIETY
Gomphonema pumilum var. pumilum	Gomphonema pumilum f. pumilum	FORM
Gomphonema pumilum var. rigidum	Gomphonema pumilum (Grunow) E.Reichardt & Lange-Bertalot, 1991	SPECIES
Gomphonema rhombicum	Gomphonema rhombicum Fricke, 1904	SPECIES
Gomphonema sagitta	Gomphonema sagitta Schumann, 1863	SPECIES
Gomphonema salinarum	Gomphonema salinarum (Pantosek) Cleve, 1894	SPECIES
Gomphonema sarcophagus	Gomphonema sarcophagus	SPECIES
Gomphonema sphenovertex	Gomphonema sphenovertex Lange-Bertalot & Reichardt, 1996	SPECIES
Gomphonema stauroneiforme	Gomphonema stauroneiforme Grunow	SPECIES
Gomphonema subclavatum	Gomphonema subclavatum (Grunow) Grunow, 1884	SPECIES
Gomphonema subtile	Gomphonema subtile Ehrenberg, 1843	SPECIES
Gomphonema tackei	Gomphonema tackei Hustedt, 1942	SPECIES
Gomphonema tenue	Gomphonema tenue Fricke, 1902	SPECIES
Gomphonema tergestinum	Gomphonema tergestinum (Grunow) Fricke, 1902	SPECIES
Gomphonema truncatum	Gomphonema truncatum Ehrenberg, 1832	SPECIES
Gomphonema utae	Gomphonema utae Lange-Bertalot & E.Reichardt, 1999	SPECIES
Gomphonema variscohercynicum	Gomphonema variscohercynicum H.Lange-Bertalot & E.Reichardt, 1999	SPECIES
Gomphonema ventricosum	Gomphonema ventricosum Skabichevskii, 1985	SPECIES
Gomphonema vibrio	Gomphonema vibrio Ehrenberg, 1843	SPECIES
Gomphonema zellense	Gomphonema zellense E.Reichardt, 1999	SPECIES
Gomphosphenia	Gomphosphenia H.Lange-Bertalot, 1995	GENUS
Gomphosphenia fontinalis	Gomphosphenia fontinalis H.Lange-Bertalot, L.Ector & M.Werum, 2004	SPECIES
Gomphosphenia holmquistii	Gomphosphenia holmquistii (Foged) Lange-Bertalot, 1995	SPECIES
Gomphosphenia lingulatiformis	Gomphosphenia lingulatiformis (Lange-Bertalot & E.Reichardt) Lange-Bertalot, 1995	SPECIES
Gomphosphenia oahuensis	Gomphosphenia oahuensis (Hustedt) Lange-Bertalot	SPECIES
Gomphosphenia tackei	Gomphosphenia tackei (Hustedt) Lange-Bertalot, 1995	SPECIES
Grammatophora	-	-
Guinardia	Guinardia H.Peragallo, 1892	GENUS
Guinardia delicatula	Guinardia delicatula (Cleve) Hasle, 1997	SPECIES
Guinardia flaccida	Guinardia flaccida (Castracane) H.Peragallo, 1892	SPECIES
Guinardia striata	Guinardia striata Hensen, 1911	SPECIES
Gyrosigma	Gyrosigma A.H.Hassall, 1845	GENUS
Gyrosigma acuminatum	Gyrosigma acuminatum (Kützing) Rabenhorst, 1853	SPECIES
Gyrosigma acuminatum var. acuminatum	Gyrosigma acuminatum var. acuminatum	VARIETY
Gyrosigma acuminatum var. brebissonii	Gyrosigma acuminatum var. brebissonii (Grunow) Cleve, 1894	VARIETY
Gyrosigma attenuatum	Gyrosigma attenuatum (Kützing) Rabenhorst, 1853	SPECIES
Gyrosigma balticum	Gyrosigma balticum (Ehrenberg) Rabenhorst, 1853	SPECIES
Gyrosigma fasciola	Gyrosigma fasciola (Ehrenberg) J.W.Griffith & Henfrey, 1856	SPECIES
Gyrosigma kuetzingii	Gyrosigma kuetzingii (Grunow) Cleve, 1894	SPECIES
Gyrosigma macrum	Gyrosigma macrum (W.Smith) J.W.Griffith & Henfrey, 1856	SPECIES
Gyrosigma nodiferum	Gyrosigma nodiferum West	SPECIES
Gyrosigma obscurum	Gyrosigma obscurum (W.Smith) J.W.Griffith & Henfrey, 1856	SPECIES
Gyrosigma obtusatum	Gyrosigma obtusatum (Sullivant & Wormley) C.S.Boyer, 1922	SPECIES
Gyrosigma parkeri	Gyrosigma parkeri (Harrison) Elmore, 1921	SPECIES
Gyrosigma peisonis	Gyrosigma peisonis (Grunow) Hustedt, 1930	SPECIES
Gyrosigma scalproides	Gyrosigma scalproides (Rabenhorst) Cleve, 1894	SPECIES
Gyrosigma sciotoense	Gyrosigma sciotoense (Sull. & Wormley) Cleve	SPECIES
Gyrosigma spenceri	Gyrosigma spencerii Cleve, 1895	SPECIES
Gyrosigma strigilis	Gyrosigma strigilis (W.Smith) J.W.Griffin & Henfrey, 1856	SPECIES
Halamphora	Halamphora (Cleve) Z.Levkov, 2009	GENUS
Halamphora coffeaeformis	Halamphora coffeaeformis (C.Agardh) Levkov, 2009	SPECIES
Halamphora holsatica	Halamphora holsatica (Hustedt) Levkov, 2009	SPECIES
Halamphora montana	Halamphora montana (Krasske) Levkov, 2009	SPECIES
Halamphora normanii	Halamphora normanii (Rabenhorst) Levkov, 2009	SPECIES
Halamphora oligotraphenta	Halamphora oligotraphenta (Lange-Bertalot) Levkov, 2009	SPECIES
Halamphora thumensis	Halamphora thumensis (A.Mayer) Levkov, 2009	SPECIES
Halamphora veneta	Halamphora veneta (Kützing) Levkov, 2009	SPECIES
Hannaea	Hannaea R.Patrick, 1966	GENUS
Hannaea arcus	Hannaea arcus (Ehrenberg) R.M.Patrick, 1966	SPECIES
Hantzschia	-	-
Hantzschia abundans	Hantzschia abundans Lange-Bertalot, 1993	SPECIES
Hantzschia alkaliphila	Hantzschia alkaliphila Lange-Bertalot, 2003	SPECIES
Hantzschia amphioxys sensu stricto	Hantzschia amphioxyss (Ehrenberg) Grunow, 1880	SPECIES
Hantzschia baltica	Hantzschia baltica Simonsen, 1960	SPECIES
Hantzschia barckhausenii	Hantzschia barckhausenii Lange-Bertalot & Metzeltin, 1996	SPECIES
Hantzschia calcifuga	Hantzschia calcifuga Reichardt & Lange-Bertalot, 2004	SPECIES
Hantzschia elongata	Hantzschia elongata (Hantzsch) Grunow, 1877	SPECIES
Hantzschia graciosa	Hantzschia graciosa Lange-Bertalot, 1993	SPECIES
Hantzschia hyalina	Hantzschia hyalina Grunow, 1884	SPECIES
Hantzschia marina	Hantzschia marina (Donkin) Grunow, 1880	SPECIES
Hantzschia petitiana	Hantzschia petitiana (Grunow) Grunow, 1882	SPECIES
Hantzschia spectabilis	Hantzschia spectabilis (Ehrenberg) Hustedt, 1959	SPECIES
Hantzschia subrupestris	Hantzschia subrupestris Lange-Bertalot, 1993	SPECIES
Hantzschia virgata	Hantzschia virgata (Roper) Grunow, 1880	SPECIES
Hantzschia virgata var. capitellata	Hantzschia virgata var. capitellata Hustedt, 1922	VARIETY
Hantzschia virgata var. gracilis	Hantzschia virgata var. gracilis Hustedt, 1930	VARIETY
Hantzschia virgata var. intermedia	Hantzschia virgata var. intermedia (Grunow) Round, 1970	VARIETY
Hantzschia virgata var. virgata	Hantzschia virgata var. virgata	VARIETY
Hantzschia vivacior	Hantzschia vivacior Lange-Bertalot, 1993	SPECIES
Hantzschia vivax	Hantzschia vivax (W.Sm.) Grunow	SPECIES
Hantzschia weyprechtii	Hantzschia weiprechtii Grunow, 1880	SPECIES
Haslea	Haslea R.Simonsen, 1974	GENUS
Haslea crucigera	Haslea crucigera (W.Smith) Simonsen, 1974	SPECIES
Haslea spicula	Haslea spicula (Hickie) L.Bukhtiyarova, 1995	SPECIES
Helicotheca	Helicotheca M.Ricard, 1987	GENUS
Helicotheca tamesis	Helicotheca tamesis (Shrubsole) M.Ricard, 1987	SPECIES
Hippodonta	Hippodonta H.Lange-Bertalot, A.Witkowski & D.Metzeltin, 1996	GENUS
Hippodonta arkoensis	Hippodonta arkonensis Lange-Bertalot, Metzeltin & Witkowski, 1996	SPECIES
Hippodonta capitata	Hippodonta capitata (Ehrenberg) Lange-Bertalot, Metzeltin & Witkowski, 1996	SPECIES
Hippodonta costulata	Hippodonta costulata (Grunow) Lange-Bertalot, Metzeltin & Witkowski, 1996	SPECIES
Hippodonta costulatiformis	Hippodonta costulatiformis Lange-Bertalot, Metzeltin & Witkowski, 1996	SPECIES
Hippodonta coxiae	Hippodonta coxiae Lange-Bertalot, 2001	SPECIES
Hippodonta hungarica	Hippodonta hungarica (Grunow) Lange-Bertalot, Metzeltin & Witkowski, 1996	SPECIES
Hippodonta lesmonensis	Hippodonta lesmonensis (Hustedt) Lange-Bertalot, Metzeltin & Witkowski, 1996	SPECIES
Hippodonta linearis	Hippodonta linearis (Østrup) Lange-Bertalot, Metzeltin & Witkowski	SPECIES
Hippodonta lueneburgensis	Hippodonta lueneburgensis (Grunow) Lange-Bertalot, Metzeltin & Witkowski, 1996	SPECIES
Hippodonta neglecta	Hippodonta neglecta Lange-Bertalot, Metzeltin & Witkowski, 1996	SPECIES
Hippodonta pumila	Hippodonta pumila Lange-Bertalot, Hofmann & Metzeltin, 2009	SPECIES
Hippodonta subcostulata	Hippodonta subcostulata (Hustedt) Lange-Bertalot, Metzeltin & Witkowski, 1996	SPECIES
Humidophila	Humidophila (Lange-Bertalot & Werum) Lowe, Kociolek, Johansen, Van de Vijver, Lange-Bertalot & Kopalová, 2014	GENUS
Humidophila contenta	Humidophila contenta (Grunow) Lowe, Kociolek, Johansen, Van de Vijver, Lange-Bertalot & Kopalová, 2014	SPECIES
Hygropetra	Hygropetra K.Krammer & H.Lange-Bertalot, 2000	GENUS
Hygropetra balfouriana	Hygropetra balfouriana (Grunow ex Cleve) Krammer & Lange-Bertalot, 2000	SPECIES
Karayevia	Karayevia F.E.Round & L.Bukhtiyarova ex F.E.Round, 1998	GENUS
Karayevia amoena	Karayevia amoena (Hust.) Bukht., 2006	SPECIES
Karayevia bottnica	Karayevia bottnica (Cleve) Lange-Bertalot, 2004	SPECIES
Karayevia carissima	Karayevia carissima (Lange-Bertalot) Bukhtiyarova, 2006	SPECIES
Karayevia clevei	Karayevia clevei (Grunow) Round & Bukhtiyarova, 1999	SPECIES
Karayevia clevei var. clevei	Karayevia clevei (Grunow) Round & Bukhtiyarova, 1999	SPECIES
Karayevia clevei var. rostrata	Karayevia F.E.Round & L.Bukhtiyarova ex F.E.Round, 1998	GENUS
Karayevia kolbei	Karayevia kolbei (Hudtedt) Bukhtiyarova, 1999	SPECIES
Karayevia laterostrata	Karayevia laterostrata (Hustedt) Round & Bukhtiyarova, 1996	SPECIES
Karayevia ploenensis	Karayevia ploenensis (Hustedt) Bukhtiyarova, 1999	SPECIES
Karayevia submarina	Karayevia submarina (Hustedt) Bukhtiyarova, 2006	SPECIES
Karayevia suchlandtii	Achnanthales	ORDER
Kobayasiella	Kobayasiella H.Lange-Bertalot, 1999	GENUS
Kobayasiella jaagii	Kobayasiella jaagii (Meister) Lange-Bertalot, 1999	SPECIES
Kobayasiella madumensis	Kobayasiella madumensis (E.G.Jørgensen) Lange-Bertalot, 1999	SPECIES
Kobayasiella micropunctata	Kobayasiella micropunctata (H.Germain) Lange-Bertalot, 1999	SPECIES
Kobayasiella okadae	Kobayasiella okadae (Skvortzov) Lange-Bertalot, 1999	SPECIES
Kobayasiella parasubtilissima	Kobayasiella parasubtilissima (H.Kobayasi & T.Nagumo) Lange-Bertalot, 1999	SPECIES
Kobayasiella pseudostauron	Kobayasiella pseudostauron (H.Lange-Bertalot) H.Lange-Bertalot, 1999	SPECIES
Kobayasiella subtilissima	Kobayasiella subtilissima (Cleve) Lange-Bertalot, 1999	SPECIES
Krasskella kriegerana	Krasskella kriegerana (Krasske) R.Ross & P.A.Sims, 1978	SPECIES
Lauderia annulata	Lauderia annulata Cleve, 1873	SPECIES
Lemnicola hungarica	Lemnicola hungarica (Grunow) F.E.Round & P.W.Basson, 1997	SPECIES
Leptocylindrus	Leptocylindrus P.T.Cleve, 1889	GENUS
Leptocylindrus danicus	Leptocylindrus danicus Cleve, 1889	SPECIES
Leptocylindrus minimus	Leptocylindrus minimus Gran, 1915	SPECIES
Lindavia	-	-
Lindavia balatonis	Lindavia balatonis (Pantocsek) Nakov et al., 2015	SPECIES
Lindavia bodanica	Lindavia bodanica (Eulenstein ex Grunow) Nakov et al., 2015	SPECIES
Lindavia radiosa	Lindavia radiosa (Grunow) De Toni & Forti, 1900	SPECIES
Lindavia tenuistriata	Lindavia tenuistriata (Hustedt) Nakov et al., 2015	SPECIES
Lithodesmium	Lithodesmium C.G.Ehrenberg, 1839	GENUS
Lithodesmium undulatum	Lithodesmium undulatum Ehrenberg, 1839	SPECIES
Luticola	Luticola D.G.Mann, 1990	GENUS
Luticola acidoclinata	Luticola acidoclinata Lange-Bertalot, 1996	SPECIES
Luticola binodis	Luticola binodis (Hustedt) M.B.Edlund, 2001	SPECIES
Luticola cohnii	Luticola cohnii (Hilse) D.G.Mann, 1990	SPECIES
Luticola dismutica	Luticola dismutica (Hustedt) D.G.Mann, 1990	SPECIES
Luticola goeppertiana	Luticola goeppertiana (Bleisch) D.G.Mann, 1990	SPECIES
Luticola heufleriana	Luticola heufleriana (Grunow) D.G.Mann, 1990	SPECIES
Luticola mutica	Luticola mutica (Kützing) D.G.Mann, 1990	SPECIES
Luticola mutica var. mutica	Luticola mutica (Kützing) D.G.Mann, 1990	SPECIES
Luticola nivalis	Luticola nivalis (Ehrenberg) D.G.Mann, 1990	SPECIES
Luticola nivaloides	Luticola nivaloides (Bock) Denys & de Smet	SPECIES
Luticola paramutica	Luticola paramutica (Bock) D.G.Mann, 1990	SPECIES
Luticola pseudokotschyi	Luticola pseudokotschyi (Lange-Bertalot) Gotoh	SPECIES
Luticola pseudonivalis	Luticola pseudonivalis (W.Bock) Levkov, Metzeltin & A.Pavlov, 2013	SPECIES
Luticola saxophila	Luticola saxophila (W.Bock ex Hustedt) D.G.Mann, 1990	SPECIES
Luticola undulata	Luticola undulata (Hilse) D.G.Mann, 1990	SPECIES
Luticola ventriconfusa	Luticola ventriconfusa Lange-Bertalot, 2003	SPECIES
Luticola ventricosa	Luticola ventricosa (Kützing) D.G.Mann, 1990	SPECIES
Marine Bacillariophyceae	-	-
Mastogloia	Mastogloia G.H.K.Thwaites, 1856	GENUS
Mastogloia baltica	Mastogloia baltica Grunow, 1880	SPECIES
Mastogloia braunii	Mastogloia braunii Grunow, 1863	SPECIES
Mastogloia elliptica	Mastogloia elliptica (C.Agardh) Cleve, 1893	SPECIES
Mastogloia elliptica var. dansei	Bacillariophyceae	CLASS
Mastogloia elliptica var. elliptica	Mastogloia elliptica var. elliptica	VARIETY
Mastogloia grevillei	Mastogloia grevillei W.Smith, 1856	SPECIES
Mastogloia lacustris	Mastogloia lacustris (Grunow) Grunow, 1880	SPECIES
Mastogloia pumila	Mastogloia pumila Cleve, 1895	SPECIES
Mastogloia smithii	Mastogloia smithii Thwaites ex W.Smith, 1856	SPECIES
Mastogloia smithii var. lacustris	Mastogloia smithii var. lacustris Grunow, 1878	VARIETY
Mastogloia smithii var. smithii	Mastogloia smithii var. smithii	VARIETY
Mayamaea	Mayamaea H.Lange-Bertalot, 1997	GENUS
Mayamaea agrestis	Mayamaea agrestis (Hustedt) Lange-Bertalot, 2001	SPECIES
Mayamaea asellus	Mayamaea asellus (Weinhold) Lange-Bertalot, 1997	SPECIES
Mayamaea atomus	Mayamaea atomus (Kützing) Lange-Bertalot, 1997	SPECIES
Mayamaea atomus var. alcimonica	Mayamaea atomus var. alcimonica (Reichardt) Reichardt, 1997	VARIETY
Mayamaea atomus var. atomus	Mayamaea atomus var. atomus	VARIETY
Mayamaea atomus var. permitis	Mayamaea atomus var. permitis (Hustedt) Lange-Bertalot, 1997	VARIETY
Mayamaea destricta	Mayamaea destricta (Hustedt) Lange-Bertalot, 1997	SPECIES
Mayamaea excelsa	Mayamaea excelsa (Krasske) Lange-Bertalot, 1997	SPECIES
Mayamaea fossalis	Mayamaea fossalis (Krasske) Lange-Bertalot, 1997	SPECIES
Mayamaea fossalis var. fossalis	Mayamaea fossalis (Krasske) Lange-Bertalot, 1997	SPECIES
Mayamaea fossalis var. obsidialis	Mayamaea fossalis var. obsidialis (Hustedt) Lange-Bertalot, 1997	VARIETY
Mayamaea fossaloides	Mayamaea fossaloides (Hustedt) Lange-Bertalot, 1997	SPECIES
Mayamaea ingenua	Mayamaea ingenua (Hust.) Lange-Bert. & Hofmann, 2011	SPECIES
Mayamaea lacunolaciniata	Mayamaea lacunolaciniata (Lange-Bertalot & K.Bonik) Lange-Bertalot, 1997	SPECIES
Mayamaea nolensoides	Mayamaea nolensoides (Bock) Lange-Bertalot, 2001	SPECIES
Mayamaea permitis	Mayamaea permitis (Hustedt) K.Bruder & L.K.Medlin, 2008	SPECIES
Mayamaea recondita	Mayamaea recondita (Hustedt) Lange-Bertalot, 1997	SPECIES
Mediopyxis helysia	Mediopyxis helysia Kühn, Hargreaves & Halliger, 2006	SPECIES
Melosira	Melosira C.A.Agardh, 1824	GENUS
Melosira ambigua	Melosira ambigua (Grunow) O.F.Müller, 1904	SPECIES
Melosira arenaria	Melosira arenaria	SPECIES
Melosira arentii	Melosira arentii (Kolbe) Nagumo & Kobayasi, 1977	SPECIES
Melosira dickiei	Melosira dickiei (Thwaites) Kützing, 1849	SPECIES
Melosira distans	Melosira distans	SPECIES
Melosira granulata	Melosira granulata Otto Müller, 1903	SPECIES
Melosira granulata var. angustissima	Melosira granulata var. angustissima Otto Müller, 1899	VARIETY
Melosira islandica ssp. helvetica	Melosira islandica subsp. helvetica O.F.Müller, 1906	SUBSPECIES
Melosira italica	Melosira italica Komarenko, 1956	SPECIES
Melosira italica ssp. subarctica	Melosira italica subsp. subarctica Otto Müller, 1906	SUBSPECIES
Melosira lineata	Melosira lineata (Dillwyn) C.Agardh, 1824	SPECIES
Melosira moniliformis	Melosira moniliformis (O.F.Müller) C.Agardh, 1824	SPECIES
Melosira moniliformis var. moniliformis	Melosira moniliformis var. moniliformis	VARIETY
Melosira moniliformis var. octagona	Melosira moniliformis var. octogona (Grunow) Hustedt, 1927	VARIETY
Melosira nummuloides	Melosira nummuloides W.Smith	SPECIES
Melosira varians	Melosira varians C.Agardh, 1827	SPECIES
Meridion	-	-
Meridion circulare	Meridion circulare (Greville) C.Agardh, 1831	SPECIES
Meridion circulare var. circulare	Meridion circulare var. circulare	VARIETY
Meridion circulare var. constrictum	Meridion circulare var. constrictum	VARIETY
Microcostatus	Microcostatus J.R.Johansen & J.C.Sray, 1998	GENUS
Microcostatus egregius	Microcostatus egregius (Hustedt) Lange-Bertalot, 1999	SPECIES
Microcostatus krasskei	Microcostatus krasskei (Hustedt) J.R.Johansen & J.C.Sray, 1998	SPECIES
Microcostatus kuelbsii	Microcostatus kuelbsii (Lange-Bertalot) Lange-Bertalot, 1999	SPECIES
Microcostatus maceria	Microcostatus maceria (Schimanski) Lange-Bertalot, 1999	SPECIES
