taxa	harmonized_name	rank
Eunotia pectinalis var. ventralis	Eunotia pectinalis var. ventralis (Ehrenberg) Hustedt, 1911	VARIETY
Eunotia pectinalis var. ventricosa	Eunotia pectinalis var. ventricosa (Ehrenberg) Grunow, 1881	VARIETY
Eupodiscus weissflogii	Eupodiscus weissflogii (Grunow) De Toni, 1894	SPECIES
Eunotia rhomboidea	Eunotia rhomboidea Hustedt, 1950	SPECIES
Eunotia rostellata	Eunotia rostellata Hustedt, 1913	SPECIES
Eolimna rotunda	Eolimna rotunda (Hustedt) Lange-Bertalot, Kulikovskiy & Witkowski, 2010	SPECIES
Eolimna ruttneri	Eolimna ruttneri (Hustedt) Lange-Bertalot & Monnier, 2003	SPECIES
Encyonema silesiacum terato	Encyonema silesiacum Round et al.	SPECIES
Encyonema subalpinum	Encyonema subalpinum (Hustedt) D.G.Mann, 1990	SPECIES
Eolimna subminuscula	Eolimna subminuscula (Manguin) Gerd Moser, Lange-Bertalot & D.Metzeltin, 1998	SPECIES
Eolimna subminuscula terato	Eolimna subminuscula (Manguin) Gerd Moser, Lange-Bertalot & D.Metzeltin, 1998	SPECIES
Encyonema silesiacum	Encyonema silesiacum Round et al.	SPECIES
Eolimna submuralis	Eolimna submuralis (Hustedt) Lange-Bertalot & Kulikovskiy, 2010	SPECIES
Eunotia soleirolii	Eunotia soleirolii (W.Smith)	SPECIES
Epithemia sorex	Epithemia sorex Kützing, 1844	SPECIES
Eunotia soleirolii terato	Eunotia soleirolii (W.Smith)	SPECIES
Eunotia spiculaeformis	Eunotia spiculaeformis Kociolek & Reviers, 1996	SPECIES
Eunotia subarcuatoides	Eunotia subarcuatoides Alles, Nörpel & Lange-Bertalot, 1991	SPECIES
Eunotia sudetica	Eunotia sudetica Otto Müller, 1898	SPECIES
Encyonopsis subminuta	Encyonopsis subminuta Krammer & E.Reichardt, 1997	SPECIES
Encyonema silesiacum var. ventriformis	Encyonema silesiacum var. ventriformis Krammer, 1997	VARIETY
Epithemia sorex terato	Epithemia sorex Kützing, 1844	SPECIES
Eolimna tantula	Eolimna tantula (Hustedt) Lange-Bertalot, 2004	SPECIES
Eunotia tenella var. capensis	Eunotia tenella var. capensis Cholnoky, 1959	VARIETY
Eunotia tenella	Eunotia tenella (Grunow) Hustedt, 1913	SPECIES
Eunotia tapacumae	Eunotia tapacumae Ehrenberg, 1854	SPECIES
Epithemia turgida	Epithemia turgida (Ehrenberg) Kützing, 1844	SPECIES
Eunotia amphioxys	Eunotia amphioxys Ehrenberg, 1843	SPECIES
Eucocconeis austriaca	Eucocconeis austriaca H.Lange-Bertalot	SPECIES
Eunotia uncinata	Eunotia uncinata Ehrenberg, 1843	SPECIES
Eucocconeis flexella	Eucocconeis flexella (Kütz.) Cleve, 1885	SPECIES
Eunotia intermedia	Eunotia intermedia (Krasske) Nörpel & Lange-Bertalot, 1993	SPECIES
Eucocconeis laevis	Eucocconeis laevis (Østrup) Lange-Bertalot, 1999	SPECIES
Eunotia undulata	Eunotia undulata Grunow, 1868	SPECIES
Eunotia paludosa	Eunotia paludosa Grunow, 1862	SPECIES
Eolimna utermoehlii	Eolimna utermoehlii (Hustedt) H.Lange-Bertalot, M.Kulikovskiy & A.Witkowski, 2010	SPECIES
Eunotia valida	Eunotia valida Grunow, 1882	SPECIES
Eolimna verecundaeformis	Eolimna verecundaeformis (Manguin ex Kociolek & Reviers) Gerd Moser, Lange-Bertalot & D.Metzeltin, 1998	SPECIES
Eunotia veneris	Eunotia veneris (Kuetzing) O.Muell.	SPECIES
Eunotia vanheurckii var. intermedia	Eunotia vanheurckii var. intermedia (Krasske ex Hustedt) Patrick, 1958	VARIETY
Eunotia vanheurckii	Eunotia vanheurckii R.M.Patrick, 1958	SPECIES
Encyonema ventricosum var. minuta	Encyonema ventricosum var. minuta Otto Muller, 1924	VARIETY
Epithemia zebra	Epithemia zebra (Ehrenberg) Kützing, 1844	SPECIES
Epithemia zebra var. proboscidea	Epithemia zebra var. proboscidea Mayer, 1936	VARIETY
Fragilaria arcus var. amphioxys	Fragilaria arcus var. amphioxys (Rabenhorst) Cleve-Euler, 1953	VARIETY
Fragilaria acidoclinata	Fragilaria acidoclinata Lange-Bertalot & G.Hofmann, 1993	SPECIES
Fragilaria acidoclinata terato	Fragilaria acidoclinata Lange-Bertalot & G.Hofmann, 1993	SPECIES
Fragilaria amphicephala	Fragilaria amphicephala Ehrenberg, 1854	SPECIES
Fragilaria amphicephaloides	Fragilaria amphicephaloides Lange-Bertalot, 2013	SPECIES
Frustulia amphipleuroides	Frustulia amphipleuroides (Grunow) A.Cleve, 1934	SPECIES
Fragilaria arcus	Fragilaria arcus (Ehrenberg) Cleve, 1898	SPECIES
Fragilaria arcus terato	Fragilaria arcus (Ehrenberg) Cleve, 1898	SPECIES
Fallacia auriculata	Fallacia auriculata (Hustedt) D.G.Mann, 1990	SPECIES
Fragilaria austriaca	Fragilaria austriaca (Grunow) Lange-Bertalot, 2000	SPECIES
Fragilaria biceps	Fragilaria biceps Ehrenberg, 1843	SPECIES
Fragilaria biceps terato	Fragilaria biceps Ehrenberg, 1843	SPECIES
Fragilaria berolinensis	Fragilaria berolinensis (Lemmermann) Lange-Bertalot, 1993	SPECIES
Fragilaria bicapitata	Fragilaria bicapitata	SPECIES
Fragilaria bidens	Fragilaria bidens Heiberg, 1863	SPECIES
Fragilaria binodis	Fragilaria binodis Pantocsek, 1902	SPECIES
Fragilaria brevistriata	Fragilaria brevistriata Grunow, 1885	SPECIES
Fragilaria brevistriata terato	Fragilaria brevistriata Grunow, 1885	SPECIES
Fragilaria bidens terato	Fragilaria bidens Heiberg, 1863	SPECIES
Fragilaria brevistriata var. turgida	Fragilaria brevistriata var. turgida McCall, 1933	VARIETY
Fragilaria brevistriata var. triggiba	Fragilaria brevistriata var. trigibba (Pantocsek) Hustedt, 1930	VARIETY
Fragilaria capucina var. amphicephala	Fragilaria capucina var. amphicephala (Kütz.) Lange-Bert. ex Buktyiarova	VARIETY
Fragilaria capucina var. amphicephala	Fragilaria capucina var. amphicephala (Kütz.) Lange-Bert. ex Buktyiarova	VARIETY
Fragilaria capucina	Fragilaria capucina (Grunow) Lange-Bertalot, 1993	SPECIES
Fragilaria capucina	Fragilaria capucina (Grunow) Lange-Bertalot, 1993	SPECIES
Fragilaria capucina terato	Fragilaria capucina (Grunow) Lange-Bertalot, 1993	SPECIES
Fragilaria capucina var. austriaca	Fragilaria capucina var. austriaca (Grun) Lange-Bertalot, 1980	VARIETY
Fragilaria construens f. binodis	Bacillariophyceae	CLASS
Fragilaria construens f. binodis terato	Bacillariophyceae	CLASS
Fragilaria capucina var. capitellata	Fragilaria capucina var. capitellata (Grunow) Lange-Bertalot, 1991	VARIETY
Fragilaria capucina var. capitellata terato	Fragilaria capucina var. capitellata (Grunow) Lange-Bertalot, 1991	VARIETY
Fragilaria capucina var. distans	Fragilaria capucina var. distans (Grunow) Lange-Bert.	VARIETY
Fragilaria capucina var.distans f. anormale	Fragilaria capucina (Grunow) Lange-Bertalot, 1993	SPECIES
Fragilaria capucina var. gracilis	Fragilaria capucina var. gracilis (Østrup) Hustedt, 1950	VARIETY
Fragilaria capucina var. gracilis terato	Fragilaria capucina var. gracilis (Østrup) Hustedt, 1950	VARIETY
Fragilaria capucina var. lanceolata	Fragilaria capucina var. lanceolata Grunow, 1881	VARIETY
Fragilaria crotonensis	Fragilaria crotonensis Kitton, 1869	SPECIES
Fragilaria capucina var. mesolepta	Fragilaria capucina var. mesolepta (Rabenhorst) Rabenhorst, 1864	VARIETY
Fragilaria construens	Fragilaria construens (Ehrenberg) Grunow, 1862	SPECIES
Fragilaria construens var. pumila f. subrotundata	Fragilaria construens f. subrotunda Mayer, 1917	FORM
Fragilaria construens f. subsalina	Fragilaria construens f. subsalina (Hustedt) Hustedt, 1957	FORM
Fragilaria construens terato	Fragilaria construens (Ehrenberg) Grunow, 1862	SPECIES
Fragilaria capucina var. perminuta	Fragilaria capucina var. perminuta (Grunow) Lange-Bertalot, 1991	VARIETY
Fragilaria capitata	Fragilaria capitata (Ehrenberg) Lange-Bertalot, 1980	SPECIES
Fragilaria capitellata	Fragilaria capitellata Lauby, 1910	SPECIES
Fragilaria crotonensis var. prolongata	Fragilaria crotonensis var. prolongata Eldarova-Sergejeva, 1913	VARIETY
Fragilaria construens var. pumila	Fragilaria construens f. pumila Grunow, 1881	FORM
Fragilaria capucina var. radians	Fragilaria capucina var. radians (Kütz.) Lange-Bert	VARIETY
Frustulia creuzburgensis	Frustulia creuzburgensis (Krasske) Hustedt, 1957	SPECIES
Fragilaria crotonensis	Fragilaria crotonensis Kitton, 1869	SPECIES
Fragilaria capucina ssp. rumpens	Fragilaria capucina subsp. rumpens (Kützing) Lange-Bertalot, 1993	SUBSPECIES
Frustulia crassinervia	Naviculales	ORDER
Fragilaria crotonensis terato	Fragilaria crotonensis Kitton, 1869	SPECIES
Fragilaria capucina var. rumpens	Fragilaria H.C.Lyngbye, 1819	GENUS
Fallacia cryptolyra	Fallacia cryptolyra (Brockmann) Stickle & Mann, 1990	SPECIES
Fragilaria construens var. subsalina	Fragilaria construens var. subsalina Hustedt, 1925	VARIETY
Fragilaria cassubica	Fragilaria cassubica Witkowski & Lange-Bertalot, 1993	SPECIES
Fragilaria crotonensis	Fragilaria crotonensis Kitton, 1869	SPECIES
Fragilaria capucina var. vaucheriae	Fragilaria capucina var. vaucheriae (Kützing) Lange-Bertalot, 1980	VARIETY
Fragilaria construens f. venter	Fragilaria construens f. venter (Ehrenberg) Hustedt, 1957	FORM
Fragilaria capucina var. vaucheriae terato	Fragilaria capucina var. vaucheriae (Kützing) Lange-Bertalot, 1980	VARIETY
Fragilaria danica	Fragilaria danica (Kützing) Lange-Bertalot, 1996	SPECIES
Fragilaria danica terato	Fragilaria danica (Kützing) Lange-Bertalot, 1996	SPECIES
Fragilaria delicatissima var. angustissima	Fragilaria delicatissima Proschkina-Lavrenko, 1960	SPECIES
Fragilaria delicatissima	Fragilaria delicatissima Proschkina-Lavrenko, 1960	SPECIES
Fragilaria delicatissima terato	Fragilaria delicatissima Proschkina-Lavrenko, 1960	SPECIES
Fragilaria dilatata	Fragilaria dilatata (Brébisson) Lange-Bertalot, 1993	SPECIES
Fragilaria dorsiventralis	Fragilaria dorsiventralis (Otto Müller) Lange-Bertalot, 1980	SPECIES
Fragilaria dorsiventralis terato	Fragilaria dorsiventralis (Otto Müller) Lange-Bertalot, 1980	SPECIES
Fragilaria distans	Fragilaria distans (Grunow) Bukhtiyarova, 1995	SPECIES
Fragilaria elliptica	Fragilaria elliptica Jousé, 1955	SPECIES
Frustulia erifuga	Frustulia erifuga Lange-Bertalot & Krammer, 1996	SPECIES
Fragilaria exiguiformis	Fragilaria exiguiformis Lange-Bertalot, 1993	SPECIES
Fragilaria exigua	Fragilaria exigua Grunow, 1878	SPECIES
Fragilaria famelica	Fragilaria famelica (Kützing) Lange-Bertalot, 1980	SPECIES
Fragilaria fasciculata	Fragilaria fasciculata (C.Agardh) Lange-Bertalot, 1980	SPECIES
Fragilaria fasciculata terato	Fragilaria fasciculata (C.Agardh) Lange-Bertalot, 1980	SPECIES
Fragilariforma bicapitata	Fragilariforma bicapitata (Mayer) D.M.Williams & Round, 1988	SPECIES
Fragilariforma exigua	Fragilariforma exigua (Grunow) M.G.Kelly	SPECIES
Fragilariforma nitzschioides	Fragilariforma nitzschioides (Grunow) Lange-Bertalot, 2011	SPECIES
Fallacia frustulum	Fallacia frustulum (Hustedt) D.G.Mann, 1990	SPECIES
Fragilariforma virescens var. exigua	Fragilariforma virescens var. exigua (Grunow) M.Poulin, 1992	VARIETY
Fragilariforma virescens	Fragilariforma virescens (Ralfs) D.M.Williams & Round, 1988	SPECIES
Fragilariforma virescens var. subsalina	Fragilariforma virescens var. subsalina (Grunow) L.N.Bukhtiyarova, 1995	VARIETY
Fragilaria grunowii	Fragilaria grunowii H.Lange-Bertalot & S.Ulrich, 2014	SPECIES
Fragilaria goulardii terato	Fragilaria goulardii (Bréb.) Lange-Bert., 1981	SPECIES
Fragilaria goulardii	Fragilaria goulardii (Bréb.) Lange-Bert., 1981	SPECIES
Fragilaria gracilis	Fragilaria gracilis Østrup, 1910	SPECIES
Fragilaria gracillima	Fragilaria gracillima Mayer	SPECIES
Fragilaria gracilis terato	Fragilaria gracilis Østrup, 1910	SPECIES
Fragilaria harrisonii	Fragilaria harrisonii (W.Smith) Grunow, 1862	SPECIES
Frustulia hawaiensis	Frustulia hawaiensis Hustedt, 1942	SPECIES
Fragilaria harrissonii var. dubia	Fragilaria harrisonii var. dubia Schumann, 1864	VARIETY
Fallacia helensis	Fallacia helensis (Schulz) D.G.Mann, 1990	SPECIES
Fragilaria intermedia var. capitellata	Fragilaria intermedia var. capitellata (Grunow) Cleve-Euler, 1932	VARIETY
Fragilaria intermedia	Fragilaria intermedia (Grunow) Grunow, 1881	SPECIES
Fragilaria intermedia	Fragilaria intermedia (Grunow) Grunow, 1881	SPECIES
Fallacia indifferens	Fallacia indifferens (Hustedt) D.G.Mann, 1990	SPECIES
Fallacia insociabilis	Fallacia insociabilis (Krasske) D.G.Mann, 1990	SPECIES
Fragilaria lapponica	Fragilaria lapponica	SPECIES
Fragilaria leptostauron var. dubia	Fragilaria leptostauron var. dubia (Grunow) Hustedt, 1931	VARIETY
Fallacia lenzi	Fallacia lenzii (Hustedt) Lange-Bertalot, 2004	SPECIES
Fragilaria leptostauron	Fragilaria leptostauron (Ehrenberg) Hustedt, 1931	SPECIES
Fragilaria leptostauron var. martyi	Fragilaria leptostauron var. martyi (Héribaud-Joseph) Lange-Bertalot, 1991	VARIETY
Fallacia lenzi	Fallacia lenzii (Hustedt) Lange-Bertalot, 2004	SPECIES
Fragilaria lancettula	Fragilaria lancettula Schumann, 1867	SPECIES
Fragilaria martyi	Fragilaria martyi (Héribaud-Joseph) Lange-Bertalot, 1993	SPECIES
Fragilaria martyi terato	Fragilaria martyi (Héribaud-Joseph) Lange-Bertalot, 1993	SPECIES
Fragilaria mesolepta	Fragilaria mesolepta Rabenhorst, 1861	SPECIES
Fragilaria miniscula	Fragilaria miniscula (Grunow) D.M.Williams & Round, 1987	SPECIES
Fallacia mitis	Fallacia mitis (Hustedt) D.G.Mann, 1990	SPECIES
Fragilaria mutabilis	Fragilaria mutabilis	SPECIES
Fallacia monoculata	Fallacia monoculata (Hustedt) D.G.Mann, 1990	SPECIES
Fallacia muraloides	Fallacia muraloides (Hust.) D.G.Mann, 1990	SPECIES
Fragilaria mutabilis	Fragilaria mutabilis	SPECIES
Fragilaria nanana	Fragilaria nanana Lange-Bertalot, 1993	SPECIES
Fragilaria nitzschioides	Fragilaria nitzschioides Grunow	SPECIES
Fragilaria nanana terato	Fragilaria nanana Lange-Bertalot, 1993	SPECIES
Fragilaria	Fragilaria H.C.Lyngbye, 1819	GENUS
Fragilaria oldenburgiana	Fragilaria oldenburgiana Hustedt, 1959	SPECIES
Fragilaria parasitica	Fragilaria parasitica (W.Smith) Heiberg, 1863	SPECIES
Fragilaria pectinalis	Fragilaria pectinalis Ehrenberg, 1838	SPECIES
Fistulifera pelliculosa	Fistulifera pelliculosa (Brébisson) Lange-Bertalot, 1997	SPECIES
Fragilaria perminuta	Fragilaria perminuta Krammer & Lange-Bertalot, 2000	SPECIES
Fallacia pseudoforcipata	Fallacia pseudoforcipata (Hustedt) D.G.Mann, 1990	SPECIES
Fragilaria pinnata	Fragilaria pinnata Ehrenberg, 1843	SPECIES
Fragilaria pinnata var. lancettula	Fragilaria pinnata var. lancettula (Schumann) Hustedt, 1913	VARIETY
Fragilaria pseudolaevissima	Fragilaria pseudolaevissima VanLandingham, 1971	SPECIES
Fragilaria producta	Fragilaria producta (Lagerstedt) Grunow, 1881	SPECIES
Fragilaria pararumpens	Fragilaria pararumpens Lange-Bertalot, G.Hofmann & Werum, 2013	SPECIES
Fragilaria parasitica var. subconstricta	Fragilaria parasitica var. subconstricta Grunow, 1881	VARIETY
Fragilaria pseudogaillonii	Fragilaria pseudogaillonii Kobayasi & Idei, 1979	SPECIES
Fragilaria pinnata f. subsolitaris	Fragilaria pinnata var. subsolitaris (Grunow) Mayer, 1937	VARIETY
Fragilaria pinnata terato	Fragilaria pinnata Ehrenberg, 1843	SPECIES
Fragilaria pulchella	Fragilaria pulchella (Ralfs ex Kützing) Lange-Bertalot, 1980	SPECIES
Fragilaria pulchella terato	Fragilaria pulchella (Ralfs ex Kützing) Lange-Bertalot, 1980	SPECIES
Fallacia pygmaea	Fallacia pygmaea (Kützing) A.J.Stickle & D.G.Mann, 1990	SPECIES
Fragilaria acus	Fragilaria acus (Kützing) Lange-Bertalot, 2000	SPECIES
Fragilaria radians	Fragilaria radians (Kützing) D.M.Williams & Round, 1987	SPECIES
Frustulia rhomboides var. amphipleuroides	Frustulia rhomboides var. amphipleuroides (Grunow) Cleve	VARIETY
Fragilaria recapitellata	Fragilaria recapitellata H.Lange-Bertalot & D.Metzeltin, 2009	SPECIES
Frustulia rhomboides var. crassinervia	Frustulia rhomboides var. crassinervia (Brébisson ex W.Smith) Ross, 1947	VARIETY
Fragilaria radians	Fragilaria radians (Kützing) D.M.Williams & Round, 1987	SPECIES
Frustulia rhomboides	Frustulia rhomboides (Ehrenberg) De Toni, 1891	SPECIES
Frustulia rhomboides var. saxonica	Frustulia rhomboides var. saxonica (Rabenh.) De Toni, 1891	VARIETY
Frustulia rhomboides var. saxonica f. undulata	Frustulia rhomboides f. undulata Hustedt, 1930	FORM
Fragilaria rumpens	Fragilaria rumpens (Kützing) G.W.F.Carlson, 1913	SPECIES
Fragilaria capucina var. rumpens terato	Fragilaria H.C.Lyngbye, 1819	GENUS
Frustulia rhomboides var. viridula	Frustulia rhomboides var. viridula (Brébisson) Cleve, 1894	VARIETY
Fistulifera saprophila	Fistulifera saprophila (Lange-Bertalot & Bonik) Lange-Bertalot, 1997	SPECIES
Frustulia saxonica	Frustulia saxonica Rabenhorst, 1853	SPECIES
Fragilaria subconstricta	Fragilaria subconstricta Østrup, 1910	SPECIES
Fallacia subhamulata	Fallacia subhamulata Round et al., 1990	SPECIES
Fallacia sublucidula	Fallacia sublucidula (Hustedt) Mann, 1990	SPECIES
Fallacia submitis	Fallacia submitis (Hustedt) D.G.Mann, 1990	SPECIES
Fragilaria sepes	Fragilaria sepes Ehrenberg, 1854	SPECIES
Fragilaria subsalina	Fragilaria subsalina (Grunow) Lange-Bertalot, 1993	SPECIES
Fragilaria cf subsalina	Fragilaria subsalina (Grunow) Lange-Bertalot, 1993	SPECIES
Fragilaria tabulata	Fragilaria tabulata (C.Agardh) Lange-Bertalot, 1981	SPECIES
Fragilaria tenera	Fragilaria tenera (W.Smith) Lange-Bertalot, 1980	SPECIES
Fragilaria tenera terato	Fragilaria tenera (W.Smith) Lange-Bertalot, 1980	SPECIES
Fragilaria tenera var. nanana	Fragilaria tenera var. nanana (H.Lange-Bertalot) H.Lange-Bertalot & S.Ulrich, 2014	VARIETY
Fallacia tenera	Naviculales	ORDER
Fragilaria tenuistriata	Fragilaria tenuistriata Østrup, 1910	SPECIES
Fragilaria ulna var. acus	Fragilaria ulna var. acus (Kützing) Lange-Bertalot, 1980	VARIETY
Fragilaria ulna sippe angustissima terato	Fragilaria ulna (Nitzsch) Lange-Bertalot, 1980	SPECIES
Fragilaria ulna var. angustissima	Fragilaria ulna (Nitzsch) Lange-Bertalot, 1980	SPECIES
Fragilaria ulna var. acus terato	Fragilaria ulna var. acus (Kützing) Lange-Bertalot, 1980	VARIETY
Fragilaria ulna var. biceps	Fragilaria ulna var. biceps (Kützing) Compère, 1991	VARIETY
Fragilaria ulna var. danica	Fragilaria ulna var. danica (Kützing) Kalinsky, 1982	VARIETY
Fragilaria ulna var. goulardi	Fragilaria ulna var. goulardi (Brébisson) Lange-Bertalot, 1980	VARIETY
Fragilaria ulna	Fragilaria ulna (Nitzsch) Lange-Bertalot, 1980	SPECIES
Fragilaria ulna terato	Fragilaria ulna (Nitzsch) Lange-Bertalot, 1980	SPECIES
Fragilaria ungeriana	Fragilaria ungeriana	SPECIES
Fragilaria ulna var. oxyrhynchus	Fragilaria ulna var. oxyrhynchus (Kütz.) Lange-Bert., 1991	VARIETY
Fragilaria utermoehlii	Fragilaria utermoehlii (Hustedt) Lange-Bertalot, 1991	SPECIES
Fragilaria ulna var. ungeriana	Fragilaria ulna var. ungeriana (Grunow) Lange-Bertalot, 1980	VARIETY
Fragilaria vaucheriae	Fragilaria vaucheriae (Kützing) J.B.Petersen, 1938	SPECIES
Fragilaria vaucheriae var. capitellata	Fragilaria vaucheriae var. capitellata (Grunow) R.Ross, 1947	VARIETY
Fragilaria vaucheriae var. distans	Fragilaria vaucheriae var. distans (Grunow) Cleve-Euler, 1953	VARIETY
Fragilaria virescens var. exigua	Fragilaria virescens var. exigua Grunow, 1881	VARIETY
Fragilaria vaucheriae var. fallax	Fragilaria vaucheriae var. fallax Grunow	VARIETY
Fragilaria virescens	Fragilaria virescens	SPECIES
Fragilaria virescens terato	Fragilaria virescens	SPECIES
Fragilaria virescens var. producta	Fragilaria virescens var. producta (Lagerstedt) De Toni, 1892	VARIETY
Frustulia viridula	Bacillariophyceae	CLASS
Fragilaria virescens var. subsalina	Fragilaria virescens var. subsalina Grunow, 1881	VARIETY
Frustulia vulgaris	Frustulia vulgaris (Thwaites) De Toni, 1891	SPECIES
Frustulia vulgaris terato	Frustulia vulgaris (Thwaites) De Toni, 1891	SPECIES
Frustulia weinholdii	Frustulia weinholdi Hustedt	SPECIES
Gomphonema abbreviatum	Gomphonema abbreviatum (Agardh) Kützing, 1833	SPECIES
Geissleria acceptata	Geissleria acceptata (Hust.) Lange-Bert. & Metzeltin, 1996	SPECIES
Gomphonema acuminatum var. coronata	Gomphonema acuminatum var. coronata (Ehrenb.) W.Sm.	VARIETY
Gomphonema acuminatum	Gomphonema acuminatum Ehrenberg, 1832	SPECIES
Gomphonema acidoclinatum	Gomphonema acidoclinatum Lange-Bertalot & Reichardt, 2004	SPECIES
Gomphonema affine	Gomphonema affine Kützing, 1844	SPECIES
Gomphonema affine terato	Gomphonema affine Kützing, 1844	SPECIES
Gomphonema agnitum	Gomphonema agnitum Hustedt, 1965	SPECIES
Gomphonema abbreviatum f. inflata	Gomphonema abbreviatum f. inflata Hustedt, 1953	FORM
Gomphonema angustatum	Gomphonema angustatum (Kützing) Rabenhorst, 1864	SPECIES
Gomphonema angustum	Gomphonema angusta (Rabenhorst)	SPECIES
Gomphonema angustatum var. producta	Gomphonema angustatum f. producta Grunow, 1880	FORM
Gomphonema acuminatum var. pusillum	Gomphonema acuminatum var. pusillum Grunow, 1880	VARIETY
Gomphonema angustatum var. sarcophagus	Gomphonema angustatum var. sarcophagus Hustedt, 1942	VARIETY
Gomphonema augur	Gomphonema augur Ehrenberg, 1840	SPECIES
Gomphonema bavaricum	Gomphonema bavaricum Reichardt & Lange-Bertalot, 1991	SPECIES
Geissleria bourbonensis f. anormale	Geissleria bourbonensis R.Le Cohu, L.Ten-Hage & M.Coste, 2009	SPECIES
Gomphonema bipunctatum	Gomphonema bipunctatum Zimmermann, 1915	SPECIES
Gomphonema bourbonense	Gomphonema bourbonense Reichardt, 1997	SPECIES
